Id,Comment,Sentiment
gxEJowcqQoI,one took days put together hit like subscribe enjoyed,positive
gxEJowcqQoI,absolutely crazy great work oscar,positive
gxEJowcqQoI,mad less 100 years ago,negative
gxEJowcqQoI,yugoslavia robbed semi final goal clear offside policeman assisted one goal uruguay goalkeeper yugoslavia got street great milovan match brazil yugoslavia biggest surprise tournament didnt put anything,positive
gxEJowcqQoI,hector castro preww2 legend,neutral
gxEJowcqQoI,oscar nextlevel work colourising black white photos,negative
gxEJowcqQoI,work put colorizarion fantastic earned youself new sub mate,positive
gxEJowcqQoI,deserves attention good vid keep,positive
gxEJowcqQoI,ive always dismissed first 23 world cups less compitionthings still ironed clearly wrong bad communication technology wasnt advanced time,negative
gxEJowcqQoI,vid sick gives tifo football vibes,negative
gxEJowcqQoI,wow oscar amazing video could easily make entire video alfred feraru saved videos watch later good watch great job,positive
gxEJowcqQoI,nice video,positive
gxEJowcqQoI,story huh great job,positive
gxEJowcqQoI,237 vfb stuttgart,neutral
gxEJowcqQoI,content,neutral
gxEJowcqQoI,truly crazy scenes,negative
gxEJowcqQoI,great video ive always fascinated world cup btw patenaude pronounced patehnude,positive
gxEJowcqQoI,manco castro perdio la mano trabajando en una panificadora,neutral
gxEJowcqQoI,great video oscar editing software use make videos,positive
gxEJowcqQoI,enjoyable stuff even though id already read although premature romanian funeral sources possible improvement comes immediately mind getting manically yelling scottish announcers narrate,positive
GMDBDvTwZcc,story barking good tail cheers bryn love doggy story,positive
GMDBDvTwZcc,bryn hero,neutral
GMDBDvTwZcc,bryn felt bad lincoln city thing bit one players conference leagues final match promoted back fourth division,negative
GMDBDvTwZcc,honestly incredible story,positive
GMDBDvTwZcc,need bryn back moment,neutral
GMDBDvTwZcc,lucky survive bite relegation cheers oscar,positive
GMDBDvTwZcc,cool video story top work,positive
GMDBDvTwZcc,great video mate,positive
GMDBDvTwZcc,nice one oscar liking tifo football type videos,positive
GMDBDvTwZcc,great story im torquay need something like happen season torquay looking great,positive
GMDBDvTwZcc,thanks oscar,positive
GMDBDvTwZcc,somehow reminds ted lasso episode,neutral
GMDBDvTwZcc,interesting story,positive
GMDBDvTwZcc,thumbnail horrendous im sorry,negative
WBEDYubwJhQ,let know youd like another world records video lots didnt make cut,neutral
WBEDYubwJhQ,love channel thanks much however cant wait fpl back btw ive always wondered position youdid play,positive
WBEDYubwJhQ,graphics video absolutely insane great job oscar videos unique entertaining watchkeep,positive
WBEDYubwJhQ,love content,positive
WBEDYubwJhQ,loved oscar lots gk involvement showing goalkeepers best players pitch,positive
WBEDYubwJhQ,thanks enjoyed mate,positive
WBEDYubwJhQ,cool oscar thank,positive
WBEDYubwJhQ,top quality graphics oscar,positive
WBEDYubwJhQ,funny video didnt expect,positive
WBEDYubwJhQ,wow much work video brilliant,positive
WBEDYubwJhQ,legit video oscar love graphics favourite 149 nil found years ago crazy game keep,negative
WBEDYubwJhQ,505 lutz found guilty match fixing singapore court,negative
WBEDYubwJhQ,great video consider making world cup video reckon would good way reach algorithm,positive
WBEDYubwJhQ,watched wolfsburgbayern game live absolutely ridicilous,negative
WBEDYubwJhQ,pure joy oscar love please could put together training video fifa educate inclusive provide class entertainment universal scale,positive
WBEDYubwJhQ,thanks oscar,positive
WBEDYubwJhQ,207 oof butchered name supposed like voyvodeena,neutral
WBEDYubwJhQ,hi good evening brother love video style genuinely refreshing creative wow kind content keeps visiting youtube thank may god bless,positive
WBEDYubwJhQ,video unavailable,neutral
WBEDYubwJhQ,great video oscar hopefully get views deserve see dedication precision graphics fantastic want use footage well think ok monetisation probably watch lots football youtubers want inspiration graphics integration clips german youtuber manu thiele really good content,positive
h0mZOEy1GL8,first ever video channel thanks early hope enjoyed come,positive
h0mZOEy1GL8,brilliant video mate,positive
h0mZOEy1GL8,moment say welcome back another video first video,positive
h0mZOEy1GL8,great work,positive
h0mZOEy1GL8,good awesome football lovers,positive
h0mZOEy1GL8,going argue picks theyre solid nice start channel might hard graphically footage wise similar video tactics winning sides would interesting,positive
h0mZOEy1GL8,garrincha must klose id couple changes like djalma santos cafu change gilmar yashin neuer kahn possibly iniesta cruyff anyway great team,positive
h0mZOEy1GL8,intro welcome new video congrats new channel wanna share 4 ronaldos haircut ahhaha mom happily cut lol,positive
h0mZOEy1GL8,first,positive
h0mZOEy1GL8,love new channel oscar good luck,positive
h0mZOEy1GL8,great video oscar keep going,positive
h0mZOEy1GL8,proud start channels great content always,positive
h0mZOEy1GL8,miroslav klose wouldnt league gerd muller id also found place johan cruyff maybe gone 343 formation thats beauty football discourse opinions gary lineker another player tends overlooked comes world cup pantheon alltime greats,neutral
h0mZOEy1GL8,great video man graphic looks cool,positive
h0mZOEy1GL8,loved oscar big fan,positive
h0mZOEy1GL8,deadline daddy football channel good true,positive
h0mZOEy1GL8,go pele football content another channel congratulations oscar classy start,positive
h0mZOEy1GL8,class content oscar thank ace,neutral
h0mZOEy1GL8,great things come,positive
h0mZOEy1GL8,love pel ref,positive
gxEJowcqQoI,one took days put together hit like subscribe enjoyed,positive
gxEJowcqQoI,absolutely crazy great work oscar,positive
gxEJowcqQoI,mad less 100 years ago,negative
gxEJowcqQoI,yugoslavia robbed semi final goal clear offside policeman assisted one goal uruguay goalkeeper yugoslavia got street great milovan match brazil yugoslavia biggest surprise tournament didnt put anything,positive
gxEJowcqQoI,hector castro preww2 legend,neutral
gxEJowcqQoI,oscar nextlevel work colourising black white photos,negative
gxEJowcqQoI,work put colorizarion fantastic earned youself new sub mate,positive
gxEJowcqQoI,deserves attention good vid keep,positive
gxEJowcqQoI,ive always dismissed first 23 world cups less compitionthings still ironed clearly wrong bad communication technology wasnt advanced time,negative
gxEJowcqQoI,vid sick gives tifo football vibes,negative
gxEJowcqQoI,wow oscar amazing video could easily make entire video alfred feraru saved videos watch later good watch great job,positive
gxEJowcqQoI,nice video,positive
gxEJowcqQoI,story huh great job,positive
gxEJowcqQoI,237 vfb stuttgart,neutral
gxEJowcqQoI,content,neutral
gxEJowcqQoI,truly crazy scenes,negative
gxEJowcqQoI,great video ive always fascinated world cup btw patenaude pronounced patehnude,positive
gxEJowcqQoI,manco castro perdio la mano trabajando en una panificadora,neutral
gxEJowcqQoI,great video oscar editing software use make videos,positive
gxEJowcqQoI,enjoyable stuff even though id already read although premature romanian funeral sources possible improvement comes immediately mind getting manically yelling scottish announcers narrate,positive
GMDBDvTwZcc,story barking good tail cheers bryn love doggy story,positive
GMDBDvTwZcc,honestly incredible story,positive
GMDBDvTwZcc,bryn hero,neutral
GMDBDvTwZcc,bryn felt bad lincoln city thing bit one players conference leagues final match promoted back fourth division,negative
GMDBDvTwZcc,need bryn back moment,neutral
GMDBDvTwZcc,cool video story top work,positive
GMDBDvTwZcc,lucky survive bite relegation cheers oscar,positive
GMDBDvTwZcc,great video mate,positive
GMDBDvTwZcc,nice one oscar liking tifo football type videos,positive
GMDBDvTwZcc,great story im torquay need something like happen season torquay looking great,positive
GMDBDvTwZcc,thanks oscar,positive
GMDBDvTwZcc,interesting story,positive
GMDBDvTwZcc,somehow reminds ted lasso episode,neutral
GMDBDvTwZcc,thumbnail horrendous im sorry,negative
WBEDYubwJhQ,let know youd like another world records video lots didnt make cut,neutral
WBEDYubwJhQ,love channel thanks much however cant wait fpl back btw ive always wondered position youdid play,positive
WBEDYubwJhQ,graphics video absolutely insane great job oscar videos unique entertaining watchkeep,positive
WBEDYubwJhQ,loved oscar lots gk involvement showing goalkeepers best players pitch,positive
WBEDYubwJhQ,thanks enjoyed mate,positive
WBEDYubwJhQ,love content,positive
WBEDYubwJhQ,top quality graphics oscar,positive
WBEDYubwJhQ,cool oscar thank,positive
WBEDYubwJhQ,legit video oscar love graphics favourite 149 nil found years ago crazy game keep,negative
WBEDYubwJhQ,funny video didnt expect,positive
WBEDYubwJhQ,wow much work video brilliant,positive
WBEDYubwJhQ,great video consider making world cup video reckon would good way reach algorithm,positive
WBEDYubwJhQ,pure joy oscar love please could put together training video fifa educate inclusive provide class entertainment universal scale,positive
WBEDYubwJhQ,watched wolfsburgbayern game live absolutely ridicilous,negative
WBEDYubwJhQ,505 lutz found guilty match fixing singapore court,negative
WBEDYubwJhQ,hi good evening brother love video style genuinely refreshing creative wow kind content keeps visiting youtube thank may god bless,positive
WBEDYubwJhQ,thanks oscar,positive
WBEDYubwJhQ,207 oof butchered name supposed like voyvodeena,neutral
WBEDYubwJhQ,video unavailable,neutral
WBEDYubwJhQ,great video oscar hopefully get views deserve see dedication precision graphics fantastic want use footage well think ok monetisation probably watch lots football youtubers want inspiration graphics integration clips german youtuber manu thiele really good content,positive
h0mZOEy1GL8,first ever video channel thanks early hope enjoyed come,positive
h0mZOEy1GL8,great work,positive
h0mZOEy1GL8,brilliant video mate,positive
h0mZOEy1GL8,great video oscar keep going,positive
h0mZOEy1GL8,class content oscar thank ace,neutral
h0mZOEy1GL8,good awesome football lovers,positive
h0mZOEy1GL8,going argue picks theyre solid nice start channel might hard graphically footage wise similar video tactics winning sides would interesting,positive
h0mZOEy1GL8,loved oscar big fan,positive
h0mZOEy1GL8,love new channel oscar good luck,positive
h0mZOEy1GL8,great things come,positive
h0mZOEy1GL8,first,positive
h0mZOEy1GL8,sad fwc like content,negative
h0mZOEy1GL8,intro welcome new video congrats new channel wanna share 4 ronaldos haircut ahhaha mom happily cut lol,positive
h0mZOEy1GL8,proud start channels great content always,positive
h0mZOEy1GL8,deadline daddy football channel good true,positive
h0mZOEy1GL8,great video man graphic looks cool,positive
h0mZOEy1GL8,amazing oscar,positive
h0mZOEy1GL8,great video enjoying channel already keep coming best new channel,positive
h0mZOEy1GL8,top one,positive
h0mZOEy1GL8,miroslav klose wouldnt league gerd muller id also found place johan cruyff maybe gone 343 formation thats beauty football discourse opinions gary lineker another player tends overlooked comes world cup pantheon alltime greats,neutral
gxEJowcqQoI,one took days put together hit like subscribe enjoyed,positive
gxEJowcqQoI,absolutely crazy great work oscar,positive
gxEJowcqQoI,hector castro preww2 legend,neutral
gxEJowcqQoI,mad less 100 years ago,negative
gxEJowcqQoI,oscar nextlevel work colourising black white photos,negative
gxEJowcqQoI,work put colorizarion fantastic earned youself new sub mate,positive
gxEJowcqQoI,yugoslavia robbed semi final goal clear offside policeman assisted one goal uruguay goalkeeper yugoslavia got street great milovan match brazil yugoslavia biggest surprise tournament didnt put anything,positive
gxEJowcqQoI,deserves attention good vid keep,positive
gxEJowcqQoI,vid sick gives tifo football vibes,negative
gxEJowcqQoI,wow oscar amazing video could easily make entire video alfred feraru saved videos watch later good watch great job,positive
gxEJowcqQoI,ive always dismissed first 23 world cups less compitionthings still ironed clearly wrong bad communication technology wasnt advanced time,negative
gxEJowcqQoI,nice video,positive
gxEJowcqQoI,story huh great job,positive
gxEJowcqQoI,great video oscar editing software use make videos,positive
gxEJowcqQoI,great video ive always fascinated world cup btw patenaude pronounced patehnude,positive
gxEJowcqQoI,content,neutral
gxEJowcqQoI,truly crazy scenes,negative
gxEJowcqQoI,enjoyable stuff even though id already read although premature romanian funeral sources possible improvement comes immediately mind getting manically yelling scottish announcers narrate,positive
gxEJowcqQoI,thanks oscar,positive
gxEJowcqQoI,237 vfb stuttgart,neutral
GMDBDvTwZcc,story barking good tail cheers bryn love doggy story,positive
GMDBDvTwZcc,honestly incredible story,positive
GMDBDvTwZcc,bryn hero,neutral
GMDBDvTwZcc,bryn felt bad lincoln city thing bit one players conference leagues final match promoted back fourth division,negative
GMDBDvTwZcc,need bryn back moment,neutral
GMDBDvTwZcc,cool video story top work,positive
GMDBDvTwZcc,nice one oscar liking tifo football type videos,positive
GMDBDvTwZcc,lucky survive bite relegation cheers oscar,positive
GMDBDvTwZcc,great video mate,positive
GMDBDvTwZcc,great story im torquay need something like happen season torquay looking great,positive
GMDBDvTwZcc,interesting story,positive
GMDBDvTwZcc,somehow reminds ted lasso episode,neutral
GMDBDvTwZcc,thanks oscar,positive
GMDBDvTwZcc,thumbnail horrendous im sorry,negative
WBEDYubwJhQ,let know youd like another world records video lots didnt make cut,neutral
WBEDYubwJhQ,graphics video absolutely insane great job oscar videos unique entertaining watchkeep,positive
WBEDYubwJhQ,love channel thanks much however cant wait fpl back btw ive always wondered position youdid play,positive
WBEDYubwJhQ,loved oscar lots gk involvement showing goalkeepers best players pitch,positive
